Project number,title,mentioned in paper,reason for noninclusion,Output description,Output category (paper),language,Tools,data,main technique,main technique (text-gen) (paper),has narrative in output (only text category output),main technique (narrative gen) (paper),user,created_at,updated_at,html_url
94,mechanical top-down novel generation,,,paragraphs,text,Python,NLTK,Gutenberg,Markov chains?,Markov chains,,,mattdmarch,2018-11-30T06:42:09Z,2018-11-30T21:58:39Z,https://github.com/NaNoGenMo/2018/issues/94
95,A CATALOGUE OF PHARMACEUTICAL DRUG NAMES,,,drug names; list,list,Python,,,"tracery, grammars, lexicon",,,,hugovk,2018-11-30T13:01:28Z,2018-12-02T05:24:12Z,https://github.com/NaNoGenMo/2018/issues/95
96,Textillating (output: Extremely Great Expectations),X,,"great expectations, version 2",text,Python,"NLTK, VADER, Wordnet",-,machine translation,"machine translation, word substitution",,,robincamille,2018-11-30T15:52:03Z,2018-12-01T13:39:23Z,https://github.com/NaNoGenMo/2018/issues/96
97,El Libro de la Arena México,,In spanish,,,Python,,,,,,,nickmontfort,2018-11-30T20:58:09Z,2018-12-01T14:02:39Z,https://github.com/NaNoGenMo/2018/issues/97
98,Un classique inconnu,,In french,,,,,,,,,,mbwolff,2018-11-30T23:27:56Z,2018-12-04T08:28:59Z,https://github.com/NaNoGenMo/2018/issues/98
99,"Sentence-level Markov model (or, reconstructing Moby-Dick using a neural network)",X,,"novel, moby dick scrambled",text,Python,"NLTK, tensorflow",-,"prediction with RNN, markov chain","prediction with RNN, markov chain",,,jeffbinder,2018-12-01T00:24:45Z,2018-12-02T13:34:19Z,https://github.com/NaNoGenMo/2018/issues/99
100,Wheel of Fortune,X,,"narrative, list of events, fabula",text,ML,-,-,templates,templates,X,illusion,chrisamaphone,2018-12-01T01:39:28Z,2018-12-01T14:19:03Z,https://github.com/NaNoGenMo/2018/issues/100
101,The Journal of Alexandria Alexander,X,,paragraphs,text,javascript,Tracery,https://github.com/dariusk/corpora,"grammars, templates, word substitution","grammars, templates, word substitution",,,mathias,2018-12-01T01:48:31Z,2018-12-03T14:33:45Z,https://github.com/NaNoGenMo/2018/issues/101
103,Imitating the Greats,,,text,text,python,-,Gutenberg,markov chains,markov chains,,,aaronfink01,2018-12-01T04:28:19Z,2018-12-01T14:29:43Z,https://github.com/NaNoGenMo/2018/issues/103
104,"Sherlock Shuffle, Winkie, and Vocabularycept #67",X,,,,,,,,,,,JKirchartz,2018-12-01T05:02:53Z,2018-12-03T14:59:11Z,https://github.com/NaNoGenMo/2018/issues/104
104.1,Sherlock Shuffle,X,,text,text,"Perl, bash, javascript",Tracery,Gutenberg,grammars,"NLP (POS-tags), templates, grammars",,,,,,
104.2,Winkie,X,,text,text,"Perl, bash, javascript","Wink.js, Tracery",Gutenberg,grammars,"NLP (POS-tags), templates, grammars",,,,,,
104.3,Vocabularycept,X,,poems,poetry,javascript,,,remixing,,,,,,,
105,Silk: A UCSC Project,,group project,novel,text,javascript,"Tracery, Lindenmayer for js, RiTa",-,grammars,grammars,X,,ikarth,2018-12-01T05:25:37Z,2018-12-01T19:09:19Z,https://github.com/NaNoGenMo/2018/issues/105
106,"Paradise Explained, Meaning Lost: A Nonsensically Annotated Edition of Milton's Epic",,,annotations,list,Python,,,"information retrieval, templates",,,,jrladd,2018-12-01T19:21:01Z,2018-12-01T19:46:27Z,https://github.com/NaNoGenMo/2018/issues/106
107,IS_IT_LOVE,,,text,text,Python,-,GoogleBooks,information retrieval,information retrieval,,,rchrdlln,2018-12-01T21:49:42Z,2018-12-02T07:47:37Z,https://github.com/NaNoGenMo/2018/issues/107
108,A Generative Book developed by CMU students,,group project,various,various,various,,,various,,,,golanlevin,2018-12-02T03:17:17Z,2018-12-05T01:29:20Z,https://github.com/NaNoGenMo/2018/issues/108
109,Walt Whitman Poetry + Web App,,,poetry,poetry,Python,,,deep learning,,,,btahir,2018-12-03T09:51:13Z,2018-12-03T10:04:09Z,https://github.com/NaNoGenMo/2018/issues/109
110,i've never picked a protected flower (concrete unicode poems),,,Poetry & word (ascii) art,poetry,"Python, Javascript",,,remixing,,,,doldrumorchids,2018-12-04T02:15:03Z,2019-01-25T04:59:39Z,https://github.com/NaNoGenMo/2018/issues/110
